	af_id	af_hidden	af_global	af_enabled	af_deleted	af_throttled	af_group	af_timestamp	af_actions	af_hit_count	af_public_comments	manual_tags	comments
0	61	0	0	1	0	0	default	20170514124327	tag	1611956	New user removing references	good_faith_refs	since action is “tag”
1	135	0	0	1	0	0	default	20150225210144	warn,tag	1371361	Repeating characters	silly_vandalism	action is not “disallow” but this aims at catching stuff like “dsadsadsadas” in articles, and there’s hardly a legitimate use of it
2	527	1	0	1	0	0	default	20161204020134	throttle	1241576	T34234: log/throttle possible sleeper account creations	sockpuppetry	(interestingly the ticket is closed with “declined” as resolution
3	384	0	0	1	0	0	default	20181018171832	disallow	1159239	Addition of bad words or other vandalism	profanity_vandalism	
4	172	0	0	1	0	0	default	20170514124339	tag	935925	Section blanking	good_faith_deletion	
5	30	0	0	1	0	0	default	20181018234235	warn,tag	840871	Large deletion from article by new editors	good_faith_deletion	
6	633	0	0	1	0	0	default	20181218191236	tag	808716	Possible canned edit summary	general_vandalism	or smth like ‘deception’? The concern here is that vandals leave misleading summaries..
7	636	0	0	1	0	0	default	20181231024947	warn	726764	Unexplained removal of sourced content	good_faith_deletion	
8	3	0	0	1	0	0	default	20181018194624	warn,tag	700522	New user blanking articles	good_faith_deletion	in the meantime, the filter is set to “disallow” (18.1.2019), which will rather render it ‘general_vandalism’ (since there isn’t a ‘blanking_vandalism’ or similar code at the moment
9	650	0	0	1	0	0	default	20160721182156		695601	Creation of a new article without any categories	general_tracking	in the meantime handled by https://en.wikipedia.org/wiki/Special:NewPagesFeed
10	279	0	0	1	0	0	default	20190104180929	throttle,tag	616212	Repeated attempts to vandalize	unclear / hidden_vandalism	undecided between unclear and hidden_vandalism; filter is hidden at the moment, I have an older version whose pattern seems to throttle edits by all non-confirmed users
11	432	0	0	1	0	0	default	20160614010135	warn,tag	558578	Starting new line with lowercase letters	good_faith_orthography	although there’s the comment “Test whether starting a new line with small letters is unique to vandalism. […] Exceeded my expectations. High catch rate with nearly no FPs. Turn to warn and tag for now. -Sole Soul”
12	225	0	0	1	0	0	default	20180807154519	disallow	482872	Vandalism in all caps	profanity_vandalism	judging the comments, the filter has changed substantially
13	50	0	0	1	0	0	default	20181018234925	warn,tag	480960	Shouting	not_polite	alternative tags: ‘general_vandalism’, ‘good_faith_orthography’
14	189	0	0	1	0	0	default	20160629222729	tag	466012	BLP vandalism or libel	personal_attacks	
15	132	0	0	1	0	0	default	20170514124337	warn,tag	420273	Removal of all categories	good_faith_deletion	or maybe introduce ‘good_faith_categories’? good_faith is selected bc of the filter actions
16	380	1	0	1	0	0	default	20181103012136	disallow	394328	Multiple obscenities	profanity_vandalism	
17	231	0	0	1	0	0	default	20181203165338	warn,tag	380302	Long string of characters containing no spaces	silly_vandalism	in the meantime set to ‘disallow’
18	364	1	0	1	0	0	default	20170514124359	tag	368604	Changing the name in a BLP infobox	hoaxing	what else could it be targeting? It is generally allowed to change a name of a person, they could rename themselves or marry or similar; or the editor could be fixing a typo. But we don’t want to catch any of these; yeah well, depending on what it is changed to, code can also be ‘personal_attack’ or ‘silly_vandalism’; maybe just pick ‘general_vandalism’?
19	46	0	0	1	0	0	default	20181023193500	disallow	356945	"""Poop"" vandalism"	profanity_vandalism	
20	98	0	0	1	0	0	default	20180802160245	tag	339401	Creating very short new article	good_faith_article_creation	
21	220	0	0	1	0	0	default	20170514124344	warn,tag	303179	Adding external images/links	good_faith_external_resources	this actually is aimed at helping good faith new users and warn them that external links and images don’t work
22	260	0	0	1	0	0	default	20181130204255	disallow	286852	Common vandal phrases	profanity_vandalism	although, strictly speaking, it’s not purely profanities, but also stuff like memes or other random stuff; it’s a lot of profanities though; it could be renamed to ‘general_vandalism’ or ‘silly_vandalism’
23	686	0	0	1	0	0	default	20170925141542		282934	IP adding possibly unreferenced material to BLP	hoaxing	could be also ‘biased_pov’, or, for simplicity ‘general_vandalism’
24	148	0	0	1	0	0	default	20160222132707	tag	242321	Users creating autobiographies	self_promotion	or ‘conflict_of_interest’ if I decide to merge ‘self_promotion’ in it; can also be ‘wiki_policy’ since it’s probably written down somewhere users shouldn’t be doing this
25	491	0	0	1	0	0	default	20170514124404	warn,tag	230416	Edits ending with emoticons or !	bad_style	
26	833	0	0	1	0	0	default	20171226170048		221466	Newer user possibly adding unreferenced or improperly referenced material	good_faith_refs	
27	712	0	0	1	0	0	default	20170514124418		209612	Possibly changing date of birth in infobox	hoaxing	or could be in theory correcting false information; but hoaxing is can potentially go wrong there; maybe better to make a “general_tracking” out of it though
28	79	0	0	1	0	0	default	20170514124330	warn,tag	205958	New user removing reference grouping tags	good_faith_refs	split from filter 61, according to notes
29	550	0	0	1	0	0	default	20180412174000	tag	202352	nowiki tags inserted into an article	unclear	I don’t understand what the problem is with this
30	149	0	0	1	0	0	default	20171208034036	warn,tag	194824	User adds link containing username	self_promotion	or ‘conflict_of_interest’ (according to warning msg this targets for instance people working for organisations)
31	29	0	0	1	0	0	default	20181018234133	tag	186026	New user removing speedy deletion templates	good_faith_template	could also be ‘avoidant_vandalism’ but action is not ‘disallow’, so I opt for a good_faith label
32	344	0	0	0	1	0	default	20160614031628	warn	180995	Prevent full page blanking	good_faith_deletion	opt for good_faith bc of action
33	180	0	0	1	0	0	default	20171025200431	tag	175939	Large unwikified new article	good_faith_wiki_syntax	according to comments, often sign of ‘copyright_violation’
34	351	0	0	1	0	0	default	20170514124357	warn,tag	171171	Text added after categories and interwiki	good_faith_wiki_syntax	
35	391	0	0	1	0	0	default	20170514124402	tag	163579	Changing height/weight in an infobox	hoaxing	potentially
36	402	0	0	0	1	0	default	20130404080808		155133	New article without references	good_faith_refs	could be also ‘good_faith_article_creation’
37	320	0	0	1	0	0	default	20181023193636	disallow	152994	"""Your mom"" Vandalism"	profanity_vandalism	'personal_attacks’ is also a good candidate
38	39	0	0	1	0	0	default	20181020203444	warn,tag	150568	School libel and vandalism	profanity_vandalism	introduce ‘libel’ as code? It is also kind of like a personal_attack but towards an organisation..
39	18	0	0	0	1	0	default	20120202004352		133641	Test type edits from clicking on edit bar	good_faith_test_edits	
40	631	0	0	1	0	0	default	20170514124409	tag	132044	Extraneous toolbar markup	good_faith_test_edits	Although here the result is similar to above, but the editors’ intention is not necessarily to test, but it was more of an accident; maybe ‘general_maintenance’?
41	12	0	0	1	0	0	default	20170606215509	disallow	122756	Replacing a page with obscenities	profanity_vandalism	
42	247	1	0	1	0	0	default	20180412174428	warn,tag	121192	Adding emails in articles	doxxing	
43	80	0	0	1	0	0	default	20190104180905	throttle,warn,tag	119104	Link spamming	spam	
44	354	1	0	1	0	0	default	20181125142759	tag	115814	Promotional text added by user to own user(-talk) page	self_promotion	
45	11	0	0	1	0	0	default	20181018194241	warn,tag	109657	You/He/She/It sucks	profanity_vandalism	or personal_attacks?; it was interestingly renamed to “Warn and tag vandalism”
46	499	1	0	1	0	0	default	20150819133615		106559	Possible spambot or promotional username	spam	'personal_attacks’ is also a good candidate
47	680	0	0	1	0	0	default	20181023195329	disallow	95242	Adding emoji unicode characters	general_vandalism	I think it was something along the lines of ‘bad_style’ by the 1st labeling; the action is ‘disallow’ though and I looked at some edits from the log and all of them are definitely vandalism
48	34	1	0	1	0	0	default	20181018234459	disallow	93880	New or unregistered user blanking someone else's user or user talk page	hidden_vandalism	alternative tags: ‘personal_attacks’ (someone else’s page) or ‘talk_page_vandalism’ (but it’s also user page, not only talk page)
49	752	1	0	1	0	0	default	20170514124428		93854	Possible spamming of references	spam	as per name; alternatively: ‘hidden_vandalism’
50	271	1	0	0	1	0	default	20181104190824	warn	91822	Possible spambot	spam	as per name; alternatively: ‘bot_vandalism’
51	614	1	0	1	0	0	default	20190101052937	disallow	90578	Yolo swag and other vandalism trends	hidden_vandalism	(in the meantime, the filter is not hidden anymore; there’s a blacklist of “trendy” words, mostly memes, etc.; in this case, this could be ‘general_vandalism’ or maybe ‘silly_vandalism’
52	188	0	0	0	1	0	default	20150212173350		86463	Creating articles with a title containing or contained in username	conflict_of_interest	
53	339	0	0	1	0	0	default	20170514124352	tag	86338	Claims of homosexuality, bisexuality, or transexuality in a BLP	personal_attacks	could be also ‘hoaxing’, although sexaulity claims are mostly meant in an insulting fashion
54	365	0	0	1	0	0	default	20181023193820	disallow	85470	Unusual changes to featured or good content	general_vandalism	
55	65	0	0	0	1	0	default	20100106173457		74098	Excessive whitespace	bad_style	as per “Excessive amounts of whitespace is associated with ascii art and some other forms of vandalism.” (comments); now deleted
56	325	0	0	0	1	0	default	20120808231331	disallow	73942	!!!!! in the article-space	bad_style	now deleted
57	285	0	0	0	0	0	default	20160911181242	disallow	73902	Common Vandalism	profanity_vandalism	deleted: “Disabling. Merged one rule into 384, now everything this filter captures should be handled by 380, 384, 614 and others ~MA 2016.09.11”
58	126	0	0	1	0	0	default	20160713155301		65137	Youtube links	spam	Alternatves: ‘general_vandalism’;link_vandalism;  In the meantime disabled: “Disabling. Looks like this filter was originally for tracking/stopping socks, but it doesn't appear to be doing that now (or anything else). (revert if this is still being used). -G 2019-03-04”
59	129	0	0	0	1	0	default	20150212173327		64869	Possible tireless sock creating film pages of non-existing films	sockpuppetry	alternative tags: ‘hoaxing’ (non-existing films)
60	423	0	0	0	1	0	default	20160614032412		64591	WikiLove	general_tracking	
61	33	0	0	1	0	0	default	20181018234422	warn,tag	60707	Talk page blanking by unregistered/new user	good_faith_deletion	alternatives: ‘talk_page_vandalism’ (but I opted for this because of the action)
62	270	0	0	0	1	0	default	20170509185805	tag	56352	Interwiki link removal	general_maintenance	Maybe “link_vandalism” more suitable? (comments “Addresses cross-wiki vandalism coming from German Wikipedia.”) Or even introduce ‘cross_wiki_vandalism’?
63	867	0	0	1	0	0	default	20181018194458		51805	Large creations by inexperienced user	good_faith_article_creation	
64	346	0	0	1	0	0	default	20170514124354	warn,tag	49652	Large non-English contributions	good_faith_test_edits	Or also “good_faith_article_creation”; I don’t quite understand the heuristic they use to supposedly check the language, but based on actions, I think the label should be one of the 2
65	458	0	0	0	1	1	default	20140303202151	disallow	46898	Feedback: Extremely short post	general_vandalism	because of the disallow; ah, so apparently you can give feedback on articles; and if it’s under 10 chars (in the current filter’s version) it’s disallowed; because it’s not very useful feedback; for me this sounds more like good_faith_feedback, to be honest
66	806	1	0	1	0	0	default	20181012022640	throttle	46840	New account suspicious activity	hidden_vandalism	
67	803	0	0	1	0	0	default	20181023223916	disallow	46756	Prevent new users from editing other's user pages	personal_attacks	
68	117	0	0	1	0	0	default	20160614004645	tag	43822	removal of Category:Living people	good_faith_deletion	if we don’t want to create new labels; otherwise it could be “good_faith_categories”; it could also be personal_attack or hoaxing, if we assume malicious intent of the editor;
69	316	1	0	1	0	0	default	20150218175744	throttle	43756	Subtle changes to articles	hidden_vandalism	
70	368	0	0	0	1	0	default	20150212173530	warn	42952	Making large changes when marking the edit as minor	good_faith_edit_summary	now deleted; could be maliciously trying to hide vandalism edit
71	249	0	0	1	0	0	default	20180328195529	throttle,tag	41712	New user conducting large scale reverts	good_faith_revert	in the meantime the pattern just checks if non-confirmed users are leaving summaries containing “undid/undo/revert”
72	9	0	0	0	0	0	default	20181018194855		41354	Personal attacks by unregistered or new user	personal_attacks	
73	1	0	0	0	0	0	default	20181017165127		40258	General test filter	test	
74	466	1	0	1	0	0	default	20161229063919	warn,tag	38064	Userspace & talk page spamming	spam	
75	753	0	0	1	0	0	default	20160407115749	tag	36983	wikilinks removed by a new user or IP	good_faith_wiki_links	although comments say “Filter to create tag for when a new user or IP removes wikilinks from an article, to flag potential edits by IP hopping redlink removal vandal. - Coffee”
76	58	1	0	1	0	0	default	20190106084020	disallow	35223	Long-term pattern abuse	long_term_abuse	
77	31	1	0	1	0	0	default	20171016132909	disallow	34966	ASCII art	hidden_vandalism	or bad_style? What is it about ASCII art (apart from being terribly unencyclopedic, except in the article about ASCII art?) why is this filter hidden?
78	164	0	0	1	0	0	default	20150218122411	tag	34351	Possible cut and paste moves	good_faith_wiki_syntax	the problem is in the end, that sometimes HTML markup is copied along; but I won’t introduce a new tag for the moment
79	716	0	0	1	0	0	default	20151205214255		34135	New user tagging or de-tagging article as FA/GA	general_vandalism	or general_tracking; used to be set to “disallow” but they reverted to “log only” because of too many false positives
80	96	0	0	0	1	0	default	20150212173317		33114	Newly created articles that don't mention their subject	good_faith_article_creation	users forgot to give the article a title? Or what is that?
81	167	0	0	1	0	0	default	20150724165931	warn	32972	Botched submissions to Articles for creation	good_faith_wiki_syntax	Or wiki_policy
82	323	0	0	1	0	0	default	20160614005551	tag	31881	Undoing anti-vandalism bot	avoidant_vandalism	(if it wasn’t a bug with the bot the editor reverted in good faith);
83	613	0	0	0	1	0	default	20160614035203	warn,tag	28327	Signing in article	wiki_policy	or bad_style?
84	728	0	0	0	1	0	default	20151006132227	tag	25869	Huggle	general_tracking	
85	627	0	0	1	0	0	default	20181125143134	tag	24764	Promotional text added by user to draft in own user(-talk) page or in draft namespace	conflict_of_interest	
86	846	0	0	1	0	0	default	20170406020700	tag	24283	LTA tracking	long_term_abuse	
87	623	1	0	0	1	0	default	20160614035424	disallow	24030	Signing in articles II	wiki_policy	or bad_style?, see filter 613 too
88	664	0	0	1	0	0	default	20181111001413	warn	22539	Test edits	good_faith_test_edits	
89	342	0	0	0	1	0	default	20160614031603		21810	Redirect becoming article	unclear	I don’t understand what the problem is with this
90	657	0	0	1	0	0	default	20150923100538	warn,tag	21684	Adding an external link to a disambiguation page	wiki_policy	
91	113	0	0	1	0	0	default	20181111001344	warn,tag	20885	Misplaced #redirect in articles	good_faith_wiki_syntax	“Back to warn, no reason to deny it, we can't deny all incorrect syntax, so no reason to try to catch this one case -P” is this an example for misusing a filter? (as per no filter should be catching trivial formatting mistakes)?
92	711	0	0	1	0	0	default	20171009011036		20699	Dead link replacement	spam	or seo (comment: “See [[WP:DEADLINKSPAM]] - Popular SEO tactic where dead links are replaced with spam links. --Samwalton9, 21 July 2015”), but we don’t have any “seo” labels so far and we could keep it that way
93	460	0	0	0	1	0	default	20140303202225	disallow	20505	Feedback: Foul words	personal_attacks	
94	59	0	0	1	0	0	default	20181018235413	tag	19938	New user removing templates on image description	good_faith_template	due to action
95	174	0	0	1	0	0	default	20170514124342	warn,tag	19223	New user removing XfD template	good_faith_template	due to action, but could also be “avoidant_vandalism”
96	520	0	0	0	1	1	default	20140303202339	disallow	18596	Feedback: No punctuation or spaces	bad_style	
97	397	1	0	1	0	0	default	20181108195959	disallow	18114	Userpage vandalism	hidden_vandalism	personal_attacks maybe too
98	155	0	0	0	1	0	default	20090928230926		17517	Adding links to youtube	general_tracking	maybe ‘wiki_policy’? I’m not quite clear on why this is problematic
99	782	0	0	1	0	0	default	20181023223745	disallow	16702	Content Translation Edits	unclear	I don’t understand what the problem is with this
100	655	0	0	1	0	0	default	20160520185734	tag	16051	Large plot section addition	general_tracking	probably the justification for this is potential hoaxing, I’m not quite sure; ‘unclear’ is another possibility for a label
101	602	0	0	1	0	0	default	20180331105543	warn,tag	15758	Arbitration discretionary sanctions alerts	unclear	if I understand correctly, the purpose of this template is to corteously alert a user they were a subject to sanctions; however, why there is a filter for this  is beyond me
102	205	1	0	0	1	0	default	20110310110641		15519	Scibaby #1	hidden_vandalism	
103	106	0	0	0	1	0	default	20090830005331		14513	Date linking / delinking	hoaxing	the action used to be throttle for 3 months, then the filter was disabled; point is “prevent change of dates from a user who is not a regular contributor to a page”
104	2	1	0	0	0	0	default	20181008172604		14104	Test filter: for testing private filters	test	
105	51	1	0	1	0	0	default	20181230024907		14060	LTA Username / LTA IP hopping disruption (Oshwah)	long_term_abuse	
106	224	0	0	1	0	0	default	20170910203050	tag	13895	Copyvio tag removal	good_faith_deletion	potentially, it’s avoidant_vandalism
107	420	0	0	1	0	0	default	20181211033934	throttle,disallow	13874	Large removal of talk page content by IP	talk_page_vandalism	
108	345	0	0	1	0	0	default	20160614031816	warn,tag	13832	Extraneous formatting from browser extension	bug	
109	733	0	0	1	0	0	default	20151102053740		13770	New user creating a page in someone else's userspace	good_faith_userpage	
110	554	0	0	1	0	0	default	20181023194722	disallow	13394	top100 blog charts	spam	alternatives: ‘wiki_policy’ or ‘bad_style’ (or introduce ‘unreliable_sources’, since I think that’s the problem here)
111	630	1	0	1	0	0	default	20150725140936	tag	13025	New users de-userfying pages	hidden_vandalism	
112	28	0	0	0	1	0	default	20100106173322		12264	New user redirecting an existing substantial page or changing a redirect	general_tracking	Or maybe the intention was to catch ‘page_move_vandalism’ deleted, since: “Terrible run time + not catching much useful + filter is overwrought now = disabling.  -Wknight94”
113	366	0	0	0	1	0	default	20110310111443		12257	Addition of seemingly random characters	good_faith_test_edits	was log only; eventually merged into filter 135
114	819	1	0	0	0	0	default	20190104180937	throttle	12207	Derp vandal	hidden_vandalism	
115	837	0	0	1	0	0	default	20170208212523		12174	Removal of disambiguation templates by new users	good_faith_template	
116	102	1	0	1	0	0	default	20181128153750	disallow	11903	Abusive account names	hidden_vandalism	
117	532	0	0	0	1	0	default	20160614033920	tag	11857	Interwiki Addition	general_tracking	or ‘unclear’; not quite sure what the intention of this filter was
118	559	1	0	1	0	0	default	20170514124407		11787	archive.is additions	hidden_vandalism	
119	825	1	0	0	0	0	default	20180424212713		11749	Descent category added	hidden_vandalism	
120	77	1	0	0	1	0	default	20160818205501	warn	11528	Various ASCII Vandals	hidden_vandalism	
121	76	0	0	0	1	0	default	20150212173255	warn	11033	Adding email address	doxxing	potentially
122	394	0	0	0	1	0	default	20120808231420		10996	Extremely short article creation	good_faith_article_creation	was only enabled for 2 weeks
123	409	0	0	0	1	0	default	20120808231558		10880	news sources on BLPs	bad_style	or ‘unreliable_refs’ (this is about daily mail in BLP articles)
124	773	1	0	0	0	0	default	20181220031744		9990	TNT's test filter	test	
125	890	0	0	1	0	0	default	20181207113011	warn,disallow	9932	Random typing in username	username_vandalism	
126	697	0	0	0	0	0	default	20151230224636		9807	User making large contribution with first edits	good_faith	or ‘general_tracking’; or ‘conflict_of_interest’ as per comments: “Testing if this is useful to monitor; may suggest a paid article, most I've seen are created in one go in an account's first edits. --Samwalton9, 13 June 2015  This is useful, but I don't think anyone's tracking it so disabling for now. --Samwalton9, 30 Dec 2015”
127	218	0	0	0	1	0	default	20150212173428		9802	User adding xx/xx/xxxx probably a date	unclear	never really acted upon and deleted after 3 months; Or maybe ‘good_faith’? The point is apparently that this is ambiguous as a date format
128	483	1	0	0	1	0	default	20160614033218		9357	Users creating own talk	hidden_vandalism	although I’m really confused as to why it is bad to write on the own talk page
129	163	0	0	0	1	0	default	20181104190423	warn,tag	9289	Redirect to non-existent page	good_faith_redirect	
130	784	0	0	1	0	0	default	20170419165539	disallow	9265	Harambe vandalism	general_vandalism	or silly_vandalism? It is definitely viewed as vandalism by the edit filter managers, although I’m not quite sure in which category it falls..; maybe it can be part of a potential ‘meme_vandalism’ or similar
131	735	0	0	1	0	0	default	20170514124421	tag	9005	Vandalising sport infobox	hoaxing	I think it fits best, since it’s often not really obvious that it’s bollocks
132	531	0	0	0	1	0	default	20160614033912	tag	8856	Interwiki Removal	general_tracking	or introduce interwiki_tracking? There was the interwiki addition filter as well..
133	81	0	0	0	1	0	default	20150625141029		8491	Badcharts	spam	or ‘unreliable_refs’; or ‘bad_style’; compare with the top100charts filter
134	878	0	0	1	0	0	default	20180416160027	tag	8290	New user removing COI template	good_faith_template	
135	521	0	0	0	1	0	default	20140303202349	disallow	8149	Feedback: All caps	not_polite	or personal_attacks
136	478	1	0	1	0	0	default	20181213063717	disallow	7862	Talk page abuse	talk_page_vandalism	
137	875	1	0	0	0	0	default	20190104181008	warn	7585	Derp II	hidden_vandalism	
138	912	0	0	1	0	0	default	20181230045936	warn,tag	7505	"Possible ""fortnite"" vandalism"	silly_vandalism	ok, so fortnite appears to be a video game; or ‘general_vandalism’ or ‘meme_vandalism’
139	643	1	0	1	0	0	default	20181127140355	throttle	7109	Persistent sockpuppetry	sockpuppetry	
140	261	1	0	0	0	0	default	20170928195215	throttle,disallow	6548	Page creation throttle for new users	hidden_vandalism	I don’t have ‘page_creation_vandalism’ anyway
141	183	0	0	0	0	0	default	20150212182934	warn	6545	AFC submissions in wrong namespace	good_faith_article_creation	or good_faith_procedure
142	473	0	0	0	1	0	default	20140303202257	disallow	6369	Feedback: Repeating characters	silly_vandalism	
143	410	0	0	0	1	0	default	20120808231603		6285	blog added to BLPs	bad_style	unreliable_sources
144	905	0	0	0	1	0	default	20180415235317		6267	bots that may ping users	general_tracking	or bot_tracking?
145	313	0	0	0	1	0	default	20150212173457	warn	6259	Skype Toolbar Formatting	bug	
146	425	1	0	1	0	0	default	20170111031407		6209	Magic/astrology spambots	bot_vandalism	
147	796	1	0	1	0	0	default	20190103105102	throttle,disallow	6029	Possible Ref Desk disruption	hidden_vandalism	
148	97	0	0	0	1	0	default	20090807112403		5973	Personal attacks by new user	personal_attacks	
149	869	0	0	1	0	0	default	20180828225237	warn	5855	"Adding ""Daily Mail"" to articles"	bad_style	unreliable_sources
150	294	1	0	1	0	0	default	20150818185048	disallow	5395	Personal attacks	personal_attacks	
